"Settlement Date","TI","Total Demand"
"01/04/2010","04","13,652.000"
"01/04/2010","05","14,107.000"
"01/04/2010","06","14,900.000"
"01/04/2010","07","15,904.000"
"01/04/2010","08","16,950.000"
"01/04/2010","09","17,138.000"
"01/04/2010","10","17,204.000"
"01/04/2010","11","17,258.000"
"01/04/2010","12","17,243.000"
"01/04/2010","13","17,130.000"
"01/04/2010","14","16,969.000"
"01/04/2010","15","16,783.000"
"01/04/2010","16","16,928.000"
"01/04/2010","17","18,038.000"
"01/04/2010","18","19,503.000"
"01/04/2010","19","19,526.000"
"01/04/2010","20","19,079.000"
"01/04/2010","21","18,375.000"
"01/04/2010","22","17,219.000"
"01/04/2010","23","15,862.000"
"01/04/2010","24","14,995.000"
"01/05/2010","01","14,261.000"
"01/05/2010","02","14,122.000"
"01/05/2010","03","14,195.000"
"01/05/2010","04","13,929.000"
"01/05/2010","05","14,242.000"
"01/05/2010","06","14,711.000"
"01/05/2010","07","16,141.000"
"01/05/2010","08","17,336.000"
"01/05/2010","09","17,473.000"
"01/05/2010","10","17,531.000"
"01/05/2010","11","17,606.000"
"01/05/2010","12","17,587.000"
"01/05/2010","13","17,473.000"
"01/05/2010","14","17,348.000"
"01/05/2010","15","17,150.000"
"01/05/2010","16","17,152.000"
"01/05/2010","17","18,212.000"
"01/05/2010","18","19,524.000"
"01/05/2010","19","19,506.000"
"01/05/2010","20","19,052.000"
"01/05/2010","21","18,331.000"
"01/05/2010","22","17,120.000"
"01/05/2010","23","15,531.000"
"01/05/2010","24","14,244.000"
"01/06/2010","01","13,983.000"
"01/06/2010","02","13,844.000"
"01/06/2010","03","13,728.000"
"01/06/2010","04","13,700.000"
"01/06/2010","05","13,819.000"
"01/06/2010","06","14,312.000"
"01/06/2010","07","16,011.000"
"01/06/2010","08","17,222.000"
"01/06/2010","09","17,276.000"
"01/06/2010","10","17,221.000"
"01/06/2010","11","17,250.000"
"01/06/2010","12","17,168.000"
"01/06/2010","13","16,971.000"
"01/06/2010","14","16,949.000"
"01/06/2010","15","16,917.000"
"01/06/2010","16","16,806.000"
"01/06/2010","17","17,967.000"
"01/06/2010","18","19,415.000"
"01/06/2010","19","19,410.000"
"01/06/2010","20","18,984.000"
"01/06/2010","21","18,289.000"
"01/06/2010","22","17,138.000"
"01/06/2010","23","15,540.000"
"01/06/2010","24","14,247.000"
"01/07/2010","01","13,605.000"
"01/07/2010","02","13,355.000"
"01/07/2010","03","13,501.000"
"01/07/2010","04","13,494.000"
"01/07/2010","05","13,603.000"
"01/07/2010","06","14,094.000"
"01/07/2010","07","15,949.000"
"01/07/2010","08","17,116.000"
"01/07/2010","09","17,199.000"
"01/07/2010","10","17,183.000"
"01/07/2010","11","17,101.000"
"01/07/2010","12","16,970.000"
"01/07/2010","13","16,690.000"
"01/07/2010","14","16,544.000"
"01/07/2010","15","16,574.000"
"01/07/2010","16","16,590.000"
"01/07/2010","17","17,424.000"
"01/07/2010","18","18,818.000"
"01/07/2010","19","18,819.000"
"01/07/2010","20","18,421.000"
"01/07/2010","21","17,803.000"
"01/07/2010","22","16,697.000"
"01/07/2010","23","15,403.000"
"01/07/2010","24","14,057.000"
"01/08/2010","01","13,426.000"
"01/08/2010","02","13,184.000"
"01/08/2010","03","13,222.000"
"01/08/2010","04","13,424.000"
"01/08/2010","05","13,420.000"
"01/08/2010","06","13,989.000"
"01/08/2010","07","15,649.000"
"01/08/2010","08","16,932.000"
"01/08/2010","09","17,237.000"
"01/08/2010","10","17,346.000"
"01/08/2010","11","17,416.000"
"01/08/2010","12","17,328.000"
"01/08/2010","13","17,158.000"
"01/08/2010","14","17,062.000"
"01/08/2010","15","16,903.000"
"01/08/2010","16","16,965.000"
"01/08/2010","17","17,882.000"
"01/08/2010","18","18,964.000"
"01/08/2010","19","18,718.000"
"01/08/2010","20","18,182.000"
"01/08/2010","21","17,575.000"
"01/08/2010","22","16,703.000"
"01/08/2010","23","15,510.000"
"01/08/2010","24","14,289.000"
"01/09/2010","01","13,460.000"
"01/09/2010","02","13,539.000"
"01/09/2010","03","13,358.000"
"01/09/2010","04","12,980.000"
"01/09/2010","05","12,998.000"
"01/09/2010","06","13,048.000"
"01/09/2010","07","13,881.000"
"01/09/2010","08","14,690.000"
"01/09/2010","09","15,662.000"
"01/09/2010","10","16,307.000"
"01/09/2010","11","16,559.000"
"01/09/2010","12","16,483.000"
"01/09/2010","13","16,230.000"
"01/09/2010","14","15,920.000"
"01/09/2010","15","15,695.000"
"01/09/2010","16","15,807.000"
"01/09/2010","17","16,899.000"
"01/09/2010","18","18,318.000"
"01/09/2010","19","18,289.000"
"01/09/2010","20","17,880.000"
"01/09/2010","21","17,393.000"
"01/09/2010","22","16,715.000"
"01/09/2010","23","15,714.000"
"01/09/2010","24","14,691.000"
"01/10/2010","01","13,900.000"
"01/10/2010","02","13,680.000"
"01/10/2010","03","14,087.000"
"01/10/2010","04","13,881.000"
"01/10/2010","05","13,950.000"
"01/10/2010","06","14,306.000"
"01/10/2010","07","14,751.000"
"01/10/2010","08","14,829.000"
"01/10/2010","09","15,607.000"
"01/10/2010","10","16,227.000"
"01/10/2010","11","16,487.000"
"01/10/2010","12","16,549.000"
"01/10/2010","13","16,495.000"
"01/10/2010","14","16,240.000"
"01/10/2010","15","16,049.000"
"01/10/2010","16","16,119.000"
"01/10/2010","17","17,279.000"
"01/10/2010","18","18,784.000"
"01/10/2010","19","18,784.000"
"01/10/2010","20","18,340.000"
"01/10/2010","21","17,738.000"
"01/10/2010","22","16,656.000"
"01/10/2010","23","15,319.000"
"01/10/2010","24","14,166.000"
"01/11/2010","01","13,532.000"
"01/11/2010","02","13,614.000"
"01/11/2010","03","13,496.000"
"01/11/2010","04","13,730.000"
"01/11/2010","05","13,816.000"
"01/11/2010","06","14,737.000"
"01/11/2010","07","16,801.000"
"01/11/2010","08","17,973.000"
"01/11/2010","09","18,074.000"
"01/11/2010","10","18,009.000"
"01/11/2010","11","17,981.000"
"01/11/2010","12","17,824.000"
"01/11/2010","13","17,544.000"
"01/11/2010","14","17,346.000"
"01/11/2010","15","17,088.000"
"01/11/2010","16","17,148.000"
"01/11/2010","17","18,177.000"
"01/11/2010","18","19,546.000"
"01/11/2010","19","19,495.000"
"01/11/2010","20","18,998.000"
"01/11/2010","21","18,223.000"
"01/11/2010","22","16,976.000"
"01/11/2010","23","15,429.000"
"01/11/2010","24","14,436.000"
"01/12/2010","01","14,044.000"
"01/12/2010","02","14,059.000"
"01/12/2010","03","14,002.000"
"01/12/2010","04","13,974.000"
"01/12/2010","05","14,288.000"
"01/12/2010","06","14,895.000"
"01/12/2010","07","16,038.000"
"01/12/2010","08","17,237.000"
"01/12/2010","09","17,327.000"
"01/12/2010","10","17,344.000"
"01/12/2010","11","17,396.000"
"01/12/2010","12","17,350.000"
"01/12/2010","13","17,134.000"
"01/12/2010","14","16,936.000"
"01/12/2010","15","16,794.000"
"01/12/2010","16","16,891.000"
"01/12/2010","17","17,892.000"
"01/12/2010","18","19,423.000"
"01/12/2010","19","19,531.000"
"01/12/2010","20","19,146.000"
"01/12/2010","21","18,465.000"
"01/12/2010","22","17,359.000"
"01/12/2010","23","15,910.000"
"01/12/2010","24","14,587.000"
"01/13/2010","01","14,205.000"
"01/13/2010","02","14,035.000"
"01/13/2010","03","14,127.000"
"01/13/2010","04","14,200.000"
"01/13/2010","05","14,331.000"
"01/13/2010","06","15,043.000"
"01/13/2010","07","16,884.000"
"01/13/2010","08","18,145.000"
"01/13/2010","09","18,271.000"
"01/13/2010","10","18,214.000"
"01/13/2010","11","18,187.000"
"01/13/2010","12","18,035.000"
"01/13/2010","13","17,774.000"
"01/13/2010","14","17,706.000"
"01/13/2010","15","17,506.000"
"01/13/2010","16","17,642.000"
"01/13/2010","17","18,493.000"
"01/13/2010","18","19,675.000"
"01/13/2010","19","19,531.000"
"01/13/2010","20","19,118.000"
"01/13/2010","21","18,348.000"
"01/13/2010","22","17,126.000"
"01/13/2010","23","15,544.000"
"01/13/2010","24","14,590.000"
"01/14/2010","01","13,776.000"
"01/14/2010","02","13,807.000"
"01/14/2010","03","13,959.000"
"01/14/2010","04","13,969.000"
"01/14/2010","05","14,271.000"
"01/14/2010","06","14,582.000"
"01/14/2010","07","16,299.000"
"01/14/2010","08","17,537.000"
"01/14/2010","09","17,615.000"
"01/14/2010","10","17,506.000"
"01/14/2010","11","17,400.000"
"01/14/2010","12","17,176.000"
"01/14/2010","13","16,888.000"
"01/14/2010","14","16,607.000"
"01/14/2010","15","16,382.000"
"01/14/2010","16","16,397.000"
"01/14/2010","17","17,211.000"
"01/14/2010","18","18,715.000"
"01/14/2010","19","18,756.000"
"01/14/2010","20","18,365.000"
"01/14/2010","21","17,709.000"
"01/14/2010","22","16,549.000"
"01/14/2010","23","15,013.000"
"01/14/2010","24","13,685.000"
"01/15/2010","01","13,270.000"
"01/15/2010","02","13,321.000"
"01/15/2010","03","13,318.000"
"01/15/2010","04","13,312.000"
"01/15/2010","05","13,607.000"
"01/15/2010","06","13,757.000"
"01/15/2010","07","15,402.000"
"01/15/2010","08","16,672.000"
"01/15/2010","09","16,872.000"
"01/15/2010","10","16,953.000"
"01/15/2010","11","16,964.000"
"01/15/2010","12","16,767.000"
"01/15/2010","13","16,479.000"
"01/15/2010","14","16,250.000"
"01/15/2010","15","16,183.000"
"01/15/2010","16","16,640.000"
"01/15/2010","17","16,914.000"
"01/15/2010","18","17,804.000"
"01/15/2010","19","17,514.000"
"01/15/2010","20","16,940.000"
"01/15/2010","21","16,276.000"
"01/15/2010","22","15,398.000"
"01/15/2010","23","14,247.000"
"01/15/2010","24","13,034.000"
"01/16/2010","01","12,452.000"
"01/16/2010","02","12,625.000"
"01/16/2010","03","12,818.000"
"01/16/2010","04","12,859.000"
"01/16/2010","05","12,964.000"
"01/16/2010","06","13,154.000"
"01/16/2010","07","13,377.000"
"01/16/2010","08","13,571.000"
"01/16/2010","09","14,347.000"
"01/16/2010","10","14,935.000"
"01/16/2010","11","15,126.000"
"01/16/2010","12","15,029.000"
"01/16/2010","13","14,770.000"
"01/16/2010","14","14,377.000"
"01/16/2010","15","14,111.000"
"01/16/2010","16","14,115.000"
"01/16/2010","17","14,980.000"
"01/16/2010","18","16,435.000"
"01/16/2010","19","16,372.000"
"01/16/2010","20","15,932.000"
"01/16/2010","21","15,428.000"
"01/16/2010","22","14,717.000"
"01/16/2010","23","13,826.000"
"01/16/2010","24","13,096.000"
"01/17/2010","01","12,715.000"
"01/17/2010","02","12,596.000"
"01/17/2010","03","12,704.000"
"01/17/2010","04","12,664.000"
"01/17/2010","05","12,534.000"
"01/17/2010","06","12,537.000"
"01/17/2010","07","12,810.000"
"01/17/2010","08","13,144.000"
"01/17/2010","09","13,676.000"
"01/17/2010","10","14,388.000"
"01/17/2010","11","14,756.000"
"01/17/2010","12","14,990.000"
"01/17/2010","13","15,118.000"
"01/17/2010","14","15,109.000"
"01/17/2010","15","15,037.000"
"01/17/2010","16","15,222.000"
"01/17/2010","17","16,198.000"
"01/17/2010","18","17,125.000"
"01/17/2010","19","16,957.000"
"01/17/2010","20","16,377.000"
"01/17/2010","21","15,730.000"
"01/17/2010","22","14,806.000"
"01/17/2010","23","13,727.000"
"01/17/2010","24","12,786.000"
"01/18/2010","01","12,597.000"
"01/18/2010","02","12,699.000"
"01/18/2010","03","12,687.000"
"01/18/2010","04","12,665.000"
"01/18/2010","05","12,788.000"
"01/18/2010","06","13,206.000"
"01/18/2010","07","13,897.000"
"01/18/2010","08","14,957.000"
"01/18/2010","09","15,867.000"
"01/18/2010","10","16,604.000"
"01/18/2010","11","17,118.000"
"01/18/2010","12","17,276.000"
"01/18/2010","13","17,196.000"
"01/18/2010","14","16,932.000"
"01/18/2010","15","16,639.000"
"01/18/2010","16","16,526.000"
"01/18/2010","17","17,317.000"
"01/18/2010","18","18,636.000"
"01/18/2010","19","18,468.000"
"01/18/2010","20","17,876.000"
"01/18/2010","21","17,033.000"
"01/18/2010","22","15,802.000"
"01/18/2010","23","14,329.000"
"01/18/2010","24","13,029.000"
"01/19/2010","01","12,625.000"
"01/19/2010","02","12,490.000"
"01/19/2010","03","12,823.000"
"01/19/2010","04","12,864.000"
"01/19/2010","05","12,931.000"
"01/19/2010","06","13,209.000"
"01/19/2010","07","14,983.000"
"01/19/2010","08","16,313.000"
"01/19/2010","09","16,547.000"
"01/19/2010","10","16,727.000"
"01/19/2010","11","16,916.000"
"01/19/2010","12","16,977.000"
"01/19/2010","13","16,923.000"
"01/19/2010","14","16,881.000"
"01/19/2010","15","16,719.000"
"01/19/2010","16","16,702.000"
"01/19/2010","17","17,414.000"
"01/19/2010","18","18,503.000"
"01/19/2010","19","18,385.000"
"01/19/2010","20","17,868.000"
"01/19/2010","21","17,106.000"
"01/19/2010","22","15,931.000"
"01/19/2010","23","14,504.000"
"01/19/2010","24","13,429.000"
"01/20/2010","01","13,224.000"
"01/20/2010","02","13,265.000"
"01/20/2010","03","13,056.000"
"01/20/2010","04","13,038.000"
"01/20/2010","05","13,380.000"
"01/20/2010","06","13,744.000"
"01/20/2010","07","15,084.000"
"01/20/2010","08","16,277.000"
"01/20/2010","09","16,418.000"
"01/20/2010","10","16,472.000"
"01/20/2010","11","16,561.000"
"01/20/2010","12","16,611.000"
"01/20/2010","13","16,507.000"
"01/20/2010","14","16,446.000"
"01/20/2010","15","16,245.000"
"01/20/2010","16","16,207.000"
"01/20/2010","17","16,899.000"
"01/20/2010","18","18,372.000"
"01/20/2010","19","18,411.000"
"01/20/2010","20","17,991.000"
"01/20/2010","21","17,265.000"
"01/20/2010","22","16,156.000"
"01/20/2010","23","14,648.000"
"01/20/2010","24","13,562.000"
"01/21/2010","01","13,777.000"
"01/21/2010","02","13,558.000"
"01/21/2010","03","13,362.000"
"01/21/2010","04","13,367.000"
"01/21/2010","05","13,552.000"
"01/21/2010","06","13,885.000"
"01/21/2010","07","15,450.000"
"01/21/2010","08","16,687.000"
"01/21/2010","09","16,742.000"
"01/21/2010","10","16,655.000"
"01/21/2010","11","16,584.000"
"01/21/2010","12","16,429.000"
"01/21/2010","13","16,171.000"
"01/21/2010","14","16,017.000"
"01/21/2010","15","15,799.000"
"01/21/2010","16","15,738.000"
"01/21/2010","17","16,508.000"
"01/21/2010","18","18,086.000"
"01/21/2010","19","18,218.000"
"01/21/2010","20","17,842.000"
"01/21/2010","21","17,260.000"
"01/21/2010","22","16,204.000"
"01/21/2010","23","14,754.000"
"01/21/2010","24","13,915.000"
"01/22/2010","01","13,694.000"
"01/22/2010","02","13,434.000"
"01/22/2010","03","13,283.000"
"01/22/2010","04","13,304.000"
"01/22/2010","05","13,608.000"
"01/22/2010","06","14,257.000"
"01/22/2010","07","15,565.000"
"01/22/2010","08","16,815.000"
"01/22/2010","09","16,970.000"
"01/22/2010","10","16,973.000"
"01/22/2010","11","16,930.000"
"01/22/2010","12","16,703.000"
"01/22/2010","13","16,401.000"
"01/22/2010","14","16,228.000"
"01/22/2010","15","16,010.000"
"01/22/2010","16","15,959.000"
"01/22/2010","17","16,673.000"
"01/22/2010","18","17,882.000"
"01/22/2010","19","17,825.000"
"01/22/2010","20","17,291.000"
"01/22/2010","21","16,704.000"
"01/22/2010","22","15,883.000"
"01/22/2010","23","14,768.000"
"01/22/2010","24","13,559.000"
"01/23/2010","01","12,685.000"
"01/23/2010","02","12,701.000"
"01/23/2010","03","12,743.000"
"01/23/2010","04","12,685.000"
"01/23/2010","05","12,694.000"
"01/23/2010","06","13,015.000"
"01/23/2010","07","13,386.000"
"01/23/2010","08","14,209.000"
"01/23/2010","09","15,116.000"
"01/23/2010","10","15,634.000"
"01/23/2010","11","15,765.000"
"01/23/2010","12","15,612.000"
"01/23/2010","13","15,282.000"
"01/23/2010","14","14,867.000"
"01/23/2010","15","14,587.000"
"01/23/2010","16","14,553.000"
"01/23/2010","17","15,234.000"
"01/23/2010","18","16,829.000"
"01/23/2010","19","16,945.000"
"01/23/2010","20","16,523.000"
"01/23/2010","21","16,056.000"
"01/23/2010","22","15,345.000"
"01/23/2010","23","14,399.000"
"01/23/2010","24","13,452.000"
"01/24/2010","01","12,837.000"
"01/24/2010","02","12,702.000"
"01/24/2010","03","12,909.000"
"01/24/2010","04","12,855.000"
"01/24/2010","05","12,894.000"
"01/24/2010","06","12,927.000"
"01/24/2010","07","12,973.000"
"01/24/2010","08","13,328.000"
"01/24/2010","09","14,275.000"
"01/24/2010","10","14,961.000"
"01/24/2010","11","15,219.000"
"01/24/2010","12","15,307.000"
"01/24/2010","13","15,313.000"
"01/24/2010","14","15,218.000"
"01/24/2010","15","15,184.000"
"01/24/2010","16","15,358.000"
"01/24/2010","17","16,218.000"
"01/24/2010","18","17,337.000"
"01/24/2010","19","17,251.000"
"01/24/2010","20","16,675.000"
"01/24/2010","21","15,978.000"
"01/24/2010","22","14,866.000"
"01/24/2010","23","13,596.000"
"01/24/2010","24","12,642.000"
"01/25/2010","01","12,096.000"
"01/25/2010","02","12,382.000"
"01/25/2010","03","12,407.000"
"01/25/2010","04","12,398.000"
"01/25/2010","05","12,639.000"
"01/25/2010","06","13,070.000"
"01/25/2010","07","14,312.000"
"01/25/2010","08","15,649.000"
"01/25/2010","09","15,985.000"
"01/25/2010","10","16,169.000"
"01/25/2010","11","16,423.000"
"01/25/2010","12","16,540.000"
"01/25/2010","13","16,563.000"
"01/25/2010","14","16,561.000"
"01/25/2010","15","16,391.000"
"01/25/2010","16","16,427.000"
"01/25/2010","17","16,967.000"
"01/25/2010","18","17,837.000"
"01/25/2010","19","17,634.000"
"01/25/2010","20","16,982.000"
"01/25/2010","21","16,110.000"
"01/25/2010","22","14,875.000"
"01/25/2010","23","13,651.000"
"01/25/2010","24","13,091.000"
"01/26/2010","01","12,512.000"
"01/26/2010","02","12,339.000"
"01/26/2010","03","12,128.000"
"01/26/2010","04","12,113.000"
"01/26/2010","05","12,452.000"
"01/26/2010","06","13,481.000"
"01/26/2010","07","14,606.000"
"01/26/2010","08","15,594.000"
"01/26/2010","09","15,740.000"
"01/26/2010","10","15,733.000"
"01/26/2010","11","15,804.000"
"01/26/2010","12","15,822.000"
"01/26/2010","13","15,756.000"
"01/26/2010","14","15,737.000"
"01/26/2010","15","15,640.000"
"01/26/2010","16","15,714.000"
"01/26/2010","17","16,347.000"
"01/26/2010","18","17,777.000"
"01/26/2010","19","17,933.000"
"01/26/2010","20","17,483.000"
"01/26/2010","21","16,795.000"
"01/26/2010","22","15,723.000"
"01/26/2010","23","14,253.000"
"01/26/2010","24","13,233.000"
"01/27/2010","01","13,157.000"
"01/27/2010","02","13,108.000"
"01/27/2010","03","12,930.000"
"01/27/2010","04","12,922.000"
"01/27/2010","05","13,300.000"
"01/27/2010","06","14,005.000"
"01/27/2010","07","15,237.000"
"01/27/2010","08","16,315.000"
"01/27/2010","09","16,411.000"
"01/27/2010","10","16,356.000"
"01/27/2010","11","16,299.000"
"01/27/2010","12","16,193.000"
"01/27/2010","13","16,008.000"
"01/27/2010","14","15,940.000"
"01/27/2010","15","15,816.000"
"01/27/2010","16","15,938.000"
"01/27/2010","17","16,593.000"
"01/27/2010","18","17,965.000"
"01/27/2010","19","18,095.000"
"01/27/2010","20","17,708.000"
"01/27/2010","21","17,048.000"
"01/27/2010","22","15,949.000"
"01/27/2010","23","14,543.000"
"01/27/2010","24","13,417.000"
"01/28/2010","01","12,579.000"
"01/28/2010","02","12,630.000"
"01/28/2010","03","12,882.000"
"01/28/2010","04","12,949.000"
"01/28/2010","05","13,028.000"
"01/28/2010","06","13,474.000"
"01/28/2010","07","15,385.000"
"01/28/2010","08","16,595.000"
"01/28/2010","09","16,750.000"
"01/28/2010","10","16,893.000"
"01/28/2010","11","17,037.000"
"01/28/2010","12","17,038.000"
"01/28/2010","13","16,907.000"
"01/28/2010","14","16,829.000"
"01/28/2010","15","16,625.000"
"01/28/2010","16","16,576.000"
"01/28/2010","17","17,139.000"
"01/28/2010","18","18,480.000"
"01/28/2010","19","18,721.000"
"01/28/2010","20","18,506.000"
"01/28/2010","21","18,008.000"
"01/28/2010","22","16,959.000"
"01/28/2010","23","15,538.000"
"01/28/2010","24","14,517.000"
"01/29/2010","01","13,835.000"
"01/29/2010","02","13,938.000"
"01/29/2010","03","14,221.000"
"01/29/2010","04","14,359.000"
"01/29/2010","05","14,494.000"
"01/29/2010","06","14,857.000"
"01/29/2010","07","16,785.000"
"01/29/2010","08","18,038.000"
"01/29/2010","09","18,296.000"
"01/29/2010","10","18,347.000"
"01/29/2010","11","18,389.000"
"01/29/2010","12","18,306.000"
"01/29/2010","13","18,026.000"
"01/29/2010","14","17,840.000"
"01/29/2010","15","17,548.000"
"01/29/2010","16","17,631.000"
"01/29/2010","17","18,186.000"
"01/29/2010","18","19,601.000"
"01/29/2010","19","19,771.000"
"01/29/2010","20","19,288.000"
"01/29/2010","21","18,708.000"
"01/29/2010","22","17,879.000"
"01/29/2010","23","16,690.000"
"01/29/2010","24","15,475.000"
"01/30/2010","01","14,875.000"
"01/30/2010","02","14,648.000"
"01/30/2010","03","15,092.000"
"01/30/2010","04","15,114.000"
"01/30/2010","05","15,210.000"
"01/30/2010","06","15,140.000"
"01/30/2010","07","15,632.000"
"01/30/2010","08","16,008.000"
"01/30/2010","09","17,001.000"
"01/30/2010","10","17,625.000"
"01/30/2010","11","17,810.000"
"01/30/2010","12","17,681.000"
"01/30/2010","13","17,383.000"
"01/30/2010","14","17,050.000"
"01/30/2010","15","16,825.000"
"01/30/2010","16","16,798.000"
"01/30/2010","17","17,324.000"
"01/30/2010","18","18,536.000"
"01/30/2010","19","18,522.000"
"01/30/2010","20","18,022.000"
"01/30/2010","21","17,472.000"
"01/30/2010","22","16,708.000"
"01/30/2010","23","15,735.000"
"01/30/2010","24","14,719.000"
"01/31/2010","01","13,960.000"
"01/31/2010","02","14,226.000"
"01/31/2010","03","14,399.000"
"01/31/2010","04","14,308.000"
"01/31/2010","05","14,228.000"
"01/31/2010","06","13,770.000"
"01/31/2010","07","14,300.000"
"01/31/2010","08","14,665.000"
"01/31/2010","09","15,546.000"
"01/31/2010","10","16,155.000"
"01/31/2010","11","16,364.000"
"01/31/2010","12","16,384.000"
"01/31/2010","13","16,209.000"
"01/31/2010","14","15,900.000"
"01/31/2010","15","15,617.000"
"01/31/2010","16","15,675.000"
"01/31/2010","17","16,399.000"
"01/31/2010","18","18,034.000"
"01/31/2010","19","18,383.000"
"01/31/2010","20","18,051.000"
"01/31/2010","21","17,411.000"
"01/31/2010","22","16,368.000"
"01/31/2010","23","15,089.000"
"01/31/2010","24","14,280.000"
"02/01/2010","01","14,352.000"
"02/01/2010","02","14,230.000"
"02/01/2010","03","14,098.000"
"02/01/2010","04","14,126.000"
"02/01/2010","05","14,079.000"
"02/01/2010","06","14,427.000"
"02/01/2010","07","16,354.000"
"02/01/2010","08","17,505.000"
"02/01/2010","09","17,619.000"
"02/01/2010","10","17,581.000"
"02/01/2010","11","17,551.000"
"02/01/2010","12","17,379.000"
"02/01/2010","13","17,115.000"
"02/01/2010","14","16,890.000"
"02/01/2010","15","16,621.000"
"02/01/2010","16","16,589.000"
"02/01/2010","17","17,181.000"
"02/01/2010","18","18,811.000"
"02/01/2010","19","19,139.000"
"02/01/2010","20","18,738.000"
"02/01/2010","21","17,998.000"
"02/01/2010","22","16,792.000"
"02/01/2010","23","15,403.000"
"02/01/2010","24","14,232.000"
"02/02/2010","01","13,201.000"
"02/02/2010","02","12,906.000"
"02/02/2010","03","12,768.000"
"02/02/2010","04","12,818.000"
"02/02/2010","05","13,422.000"
"02/02/2010","06","14,134.000"
"02/02/2010","07","16,355.000"
"02/02/2010","08","17,475.000"
"02/02/2010","09","17,553.000"
"02/02/2010","10","17,502.000"
"02/02/2010","11","17,481.000"
"02/02/2010","12","17,325.000"
"02/02/2010","13","17,139.000"
"02/02/2010","14","17,013.000"
"02/02/2010","15","16,803.000"
"02/02/2010","16","16,828.000"
"02/02/2010","17","17,422.000"
"02/02/2010","18","18,905.000"
"02/02/2010","19","19,084.000"
"02/02/2010","20","18,680.000"
"02/02/2010","21","17,977.000"
"02/02/2010","22","16,790.000"
"02/02/2010","23","15,250.000"
"02/02/2010","24","13,893.000"
"02/03/2010","01","13,239.000"
"02/03/2010","02","13,281.000"
"02/03/2010","03","13,352.000"
"02/03/2010","04","13,213.000"
"02/03/2010","05","13,568.000"
"02/03/2010","06","13,998.000"
"02/03/2010","07","15,820.000"
"02/03/2010","08","17,041.000"
"02/03/2010","09","17,317.000"
"02/03/2010","10","17,299.000"
"02/03/2010","11","17,251.000"
"02/03/2010","12","17,115.000"
"02/03/2010","13","16,924.000"
"02/03/2010","14","16,785.000"
"02/03/2010","15","16,688.000"
"02/03/2010","16","16,748.000"
"02/03/2010","17","17,372.000"
"02/03/2010","18","18,655.000"
"02/03/2010","19","18,825.000"
"02/03/2010","20","18,401.000"
"02/03/2010","21","17,735.000"
"02/03/2010","22","16,582.000"
"02/03/2010","23","15,067.000"
"02/03/2010","24","13,817.000"
"02/04/2010","01","13,638.000"
"02/04/2010","02","13,807.000"
"02/04/2010","03","13,657.000"
"02/04/2010","04","13,708.000"
"02/04/2010","05","14,024.000"
